,Text,Label
0,اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,0
1,@berrynawal نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,1
2,@DimaSadek انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,0
3,@DimaSadek @LBCI_NEWS @JeanFeghali يسلم لسانك من مصر يا ديما نحن معك,1
4,"@RammalNaima @DimaSadek من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",1
5,@DimaSadek فعلاً الثورة أنثى، برافو ديما,1
6,@berrynawal يخرب بيتك حبيتك,1
7,@DimaSadek انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… https://t.co/B68FXaFNex,0
8,@DimaSadek ضبي لسانك احسنلك ��,0
9,@DimaSadek يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,0
10,@DimaSadek كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,1
11,RT @AkramHamade: إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق @DimaSadek,1
12,@Jessicaazar آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,1
13,@DimaSadek ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,0
14,@berrynawal ابكي بترتاحي,0
15,@DimaSadek السيد يا حمارة,0
16,@DimaSadek انشا الله ليقبر قلبك,0
17,@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,1
18,@bird99_b @DimaSadek بس يا بهلة,0
19,@yumnafawaz لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,1
20,@DimaSadek انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,1
21,@JadHSaad1 @DimaSadek ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,1
22,@DimaSadek يا مريضة موتي,0
23,"@DimaSadek قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",0
24,@berrynawal لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,1
25,@DimaSadek انشالله بيقبرك إنتي وعيلتك�,0
26,@DimaSadek انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,1
27,@DimaSadek قال لا نؤيد حاجي تحريف يا #ديما_الواطية,0
28,@DimaSadek يلعن شرفك بصباطي يا شرشوحه,0
29,@yumnafawaz يا ريت اكلتي شي كف عا نيعك,0
30,@DimaSadek اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,0
31,@berrynawal سلامة قلبكن,1
32,@DimaSadek Bravo يا شاطرة، الله يحمي لبنان,1
33,@DimaSadek ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… https://t.co/vNatwW6bEH,0
34,@yumnafawaz إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… https://t.co/Ibl58ekr8L,0
35,@DimaSadek انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,1
36,نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,1
37,@DimaSadek ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,0
38,@berrynawal ما ابشعك,0
39,@yumnafawaz @yumnafawaz  انتبهي فقد عاد المسعورين,1
40,"@loulouttew17 @Jessicaazar
ما خصنا هول رفقاتك �",1
41,@yumnafawaz @liliandaoud مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,1
42,"@yumnafawaz ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",0
43,@DimaSadek خلص ما تزعلي انتِ ايقونة الثورة�,1
44,@RoroHMostafa1 @ahmadja21216444 @DimaSadek خلينالك لهضامي إلك ولثورة,1
45,@DimaSadek لا تكون طريق امك ومش عارفين ابديش زفر,1
46,@MwsAmal @yumnafawaz يبعتلك قص لسانك بلا اخلاق,0
47,@DimaSadek اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,1
48,@DimaSadek @josephinedeeb @AkikiJoyce يا بلا أخلاق العونيين دافعوا عنّا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,0
49,"@DimaSadek انتي سخيفة وحاقدة وكتلة من العقد
ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين",0
